OTU_id,Domain,Phylum,Class,Order,Family,Genus,Species
Arch_OTU_1,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_10,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_100,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1001,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,uncultured,NA
Arch_OTU_1019,Archaea,Nanoarchaeaeota,Nanohaloarchaeia,Aenigmarchaeales,NA,NA,NA
Arch_OTU_102,Archaea,Thaumarchaeota,Group 1.1c,NA,NA,NA,NA
Arch_OTU_1022,Archaea,Nanoarchaeaeota,Nanohaloarchaeia,Deep Sea Euryarchaeotic Group(DSEG),NA,NA,NA
Arch_OTU_1024,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1026,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Arch_OTU_103,Archaea,Thaumarchaeota,Group 1.1c,NA,NA,NA,NA
Arch_OTU_1037,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1043,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1046,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1049,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1052,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1073,Archaea,Diapherotrites,Micrarchaeia,NA,NA,NA,NA
Arch_OTU_1078,Archaea,Euryarchaeota,Thermoplasmata,NA,NA,NA,NA
Arch_OTU_1083,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1090,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,NA
Arch_OTU_11,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1109,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_113,Archaea,Euryarchaeota,Thermoplasmata,NA,NA,NA,NA
Arch_OTU_1132,Archaea,Euryarchaeota,Thermoplasmata,NA,NA,NA,NA
Arch_OTU_1144,Archaea,Nanoarchaeaeota,Nanohaloarchaeia,Aenigmarchaeales,NA,NA,NA
Arch_OTU_115,Archaea,Euryarchaeota,Thermoplasmata,NA,NA,NA,NA
Arch_OTU_1158,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,NA
Arch_OTU_1163,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,NA,NA,NA
Arch_OTU_1166,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_117,Archaea,Diapherotrites,Micrarchaeia,NA,NA,NA,NA
Arch_OTU_1174,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_1175,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_118,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA,NA
Arch_OTU_120,Archaea,Euryarchaeota,Thermoplasmata,NA,NA,NA,NA
