Plot information,,,,,,,,,,temp,,precip,Field management (2017),,,,,,,,,,Crop biodiversity,,,,,,,,,,,,,Crop 2017 information,,,,Phytometer trial yield (i.e. yield potential) and nutrient content,,,,,,,,,Soil Moisture at sampling,Soil fungal diversity,,,,,,Soil bacterial diversity,,,,,Soil archae diversity,,,,,,,,Soil protist diversity,,,,,,Soil measurements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qPCR,,,,,,,,,,,,,,,,,,,,,,
Sample_No,Sample_ID,Florine_naming_arch_missing_highlighted,Country,Region,Plot_ID,Lat,Long,Treatment_main,Treatment_minor,avg_temp_longterm,,avg_precip_longterm,tillage_no_times,tillage_depth_max_cm,fertilizer_min_app_no,fertilizer_min_N_amount,fertilizer_org_app_no,fertilizer_organic_N_tot_amount,fertilizer_organic_N_min_amount,herb_no_app,fung_no_app,insect_no_app,Richness,S_year,CDI,Simpson,invSimpson,Shannon,pd,mpd,mpdw,mntd,raoD,sp_2017,idem_2017,Crop_2017,grain_yield,std_yield_country,std_yield_network,Phyt_shoot,Phyt_root,Phyt_tot,P_%_shoots,P_tot_shoots_mg,N_%_shoots,N_tot_shoots_mg,C_%_shoots,C_tot_shoots_mg,Soil_Moisture_Field_at_sampling,Richness,Chao1,ACE,Shannon,InvSimpson,pielou,PD_whole_tree,Chao1,Observed species,Shannon,InvSimpson,Richness,S.chao1,se.chao1,S.ACE,se.ACE,Shannon,InvSimpson,Pielou,cerco_sobs,cerco_Chao1,cerco_ACE,cerco_shannon,cerco_InvSimpson,cerco_pielou,Sand,Silt,Clay,WHC,CEC,Magnesium,Calcium,bulk_density,MWD,C_tot_%,C_tot_mg,N_tot_%,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_%,Organic_C_%,CaCO3_%,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,XYL,BG,AG,NAG,CB,PHOS,LAP,NH4,DIN,TAN,NO3,DON,AMP,NIP,DEP,MIN,NTR,PDA,C_ENZ,N_ENZ,hzo,NifH,nrfA,NIB,NIS,16S,NirK,NirS,nosZ2,nosZ1,AOA,AOB,ITS,Cren,%niK,%nirS,nirK/nirS,%nosZ2,%nosZ1,nosZ2/nosZ1,%AOB,AOA/AOB,16S/ITS
2,SP2,002SPAcrHIGanda,Spain,Andaluc�a,Guzman,37.64241,-5.28839,Agriculture,Conventional,17.7,18.4,624,2,20,2,124,0,0,0,2,1,0,5,0.9,4.5,0.797783934,4.945205479,1.603568103,543.54831,268.889078,208.0339546,114.479816,104.0169773,Triticum_aestivum,7,wheat,2.7,1.153846154,0.452640402,3.24,1.46,4.7,0.05,1.76,1.27,41.109,40.57,1314.58,0.09,89,118.077,125.491,2.442,3.546,0.544,126.5668913,3052.645503,2048,9.53169732,285.4918246,78,93.6,11.64,88,4.51,2.07,4.25,0.48,384,475.714,495.71,4.652,34.095,0.782,67.46,20.01,11.85,0.363,8.45,0.68,2.9,1.51,0.46,0.66,6600,0.054,540,157.58,5.9,5.58,0.67,0.39,0.2,163.097,17.046,4.240014925,1.975697879,0.183125,3900,11.86405028,46.39607358,6.029926123,12.45738401,7.082363992,133.7014949,16.76042977,11.58802582,21.7332962,24.48137303,10.14527038,2.748076832,-0.817356499,18.50373663,4.936641433,7.060745644,11.99738708,0.21,1.712937935,0.701227531,22.54551851,271.1636567,531.4407046,43.54307344,310.6226895,1470765.25,13716.2326,9122.194824,30521.73209,20928.37695,6085.798828,1881.215454,229031.2688,90986.83203,0.009325916,0.006202346,1.503611013,0.02075228,0.014229584,1.458389829,0.001279073,3.235035527,6.421678828
3,SP3,003SPAcrLOWanda,Spain,Andaluc�a,Guzman,37.65983,-5.282124,Agriculture,Conventional,17.7,18.4,624,2,20,2,124,0,0,0,2,1,0,3,0.8,2.4,0.646604938,2.829694323,1.066834855,379.66853,253.1123533,174.9041306,129.6581067,87.45206528,Triticum_aestivum,4,wheat,2.1,0.897435897,0.352053646,1.93,0.93,2.86,0.05,1.05,1.3,25.036,39.53,762.86,0.079,94,105.176,107,2.692,4.455,0.593,133.0317489,3354.663912,2105,9.508719888,270.6257045,78,93.11,9.73,99.8,5.22,2.11,4.53,0.49,374,455.447,443.509,4.734,40.306,0.799,41.04,27.38,30.49,0.456,26.6,1.07,23.9,1.44,0.63,1.15,11500,0.095,950,101.41,1,8.2,1.09,0.63,1.5,247.447,28.05,1.390634807,0.984251869,0.7028125,6300,9.854625524,33.17457694,5.282770793,2.652929414,2.665380164,44.84414455,54.91217453,3.497807852,12.33405574,14.32491021,8.836247883,1.990854476,-0.238372494,13.59641798,4.175316688,10.25920307,14.43451976,NA,1.223456482,1.381562495,38.86252959,288.896792,664.5966595,52.16768402,384.9041755,1519802.188,15169.67827,13889.02979,37043.54135,21254.19238,5575.637939,2174.964417,239741.9477,83180.17188,0.00998135,0.009138709,1.092205755,0.024373923,0.013984841,1.742881625,0.001431084,2.563553637,6.33932527
4,SP4,004SPAgrGRAanda,Spain,Andaluc�a,IFAPA - El Tomejil,37.41256,-5.582707,Grassland,Grassland,17.9,19.5,603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.46,0.76,2.22,0.12,1.77,1.42,20.738,39.08,570.5,0.175,158,196.897,201.936,3.541,12.659,0.699,144.3562728,3808.032967,2356,9.372351115,150.4395072,110,129,11.29,127.68,5.62,2.57,7.91,0.55,332,411.441,398.347,4.919,70.539,0.847,16.54,52.05,29.89,0.712,29.76,2.29,26.5,0.89,0.78,5.75,57500,0.104,1040,581.86,12.36,8.3,1.52,0.88,31.2,584.133,76.853,4.438470762,5.714866041,0.704166667,8800,16.30687059,35.95316465,5.209695368,1.846890735,2.835636959,61.00956112,64.77993742,4.509085098,9.06016299,16.50054797,4.551077892,7.440384983,-0.303938821,14.81608783,-2.695177049,10.56094434,7.86576729,3.8,1.447328822,1.599043876,69.13596226,1087.788031,3222.858836,39.31194602,367.50135,1525786.25,44890.84091,35177.80859,24158.74524,42486.19336,6762.740234,1598.411011,119482.2303,66795.93164,0.029421448,0.023055529,1.27611249,0.015833637,0.027845443,0.568625789,0.001047598,4.230914445,12.76998468
5,SP5,005SPAcrHIGanda,Spain,Andaluc�a,IFAPA - El Tomejil,37.4133,-5.584381,Agriculture,Conventional,17.9,19.5,603,1,15,2,117.4,0,0,0,2,0,0,3,1.2,3.6,0.639203259,2.771643664,1.056057353,495.73216,330.4881067,220.6775399,284.4096133,110.3387699,Triticum_durum,4,wheat,4.6,1.965811966,0.77116513,1.89,1.11,3,0.07,1.26,1.23,23.179,39.36,743.85,0.192,153,185.344,193.369,3.257,9.494,0.647,153.4412066,4401.446667,2528,9.469989541,135.4397763,105,114.56,6.04,117.69,5.32,2.38,7.2,0.51,390,428.038,430.138,5.101,77.781,0.855,11.12,61.86,25.55,0.569,10,1.01,11.2,0.97,0.56,4.15,41500,0.101,1010,465.18,4.9,8.27,1.47,0.85,29.5,540.301,72.675,2.849030621,5.195968973,0.5490625,8500,2.891673767,2.106810168,0.62578429,1.138249002,0.266687018,8.273834283,18.45330714,3.855644416,9.78434203,15.14077437,5.928697614,5.356432342,-0.264487895,20.50981909,1.957887126,16.80698856,18.76487569,6,0.141382926,0.470197347,84.30521548,859.853481,3996.126217,73.90331239,1203.758686,1510567.5,43068.6392,34398.85742,21213.78716,44977.17578,7978.040283,6052.232422,121069.0974,109344.8125,0.028511562,0.022772142,1.252036911,0.014043588,0.029775019,0.471656719,0.004006595,1.318197935,12.47690396
6,SP6,006SPAcrLOWanda,Spain,Andaluc�a,IFAPA - El Tomejil,37.40317,-5.588811,Agriculture,Conventional,17.9,19.5,603,1,15,2,117.4,0,0,0,3,0,0,3,1.1,3.3,0.665679012,2.991137371,1.097129708,495.73216,330.4881067,217.9055538,284.4096133,108.9527769,Triticum_durum,7,wheat,5.1,2.179487179,0.854987427,1.93,1.6,3.53,0.04,0.87,1.06,20.473,38.82,749.3,0.175,120,161,165.378,3.015,8.878,0.63,135.3068952,3576.007692,2196,9.303333713,132.463671,85,94.55,6.57,96.14,4.88,2.44,8.24,0.55,314,561.5,442.994,4.753,62.567,0.827,11.95,54.28,32.42,0.583,NA,NA,NA,0.92,0.65,4.32,43200,0.108,1080,470.78,5,8.21,1.35,0.78,28.8,502.06,64.237,2.770196688,4.049323927,0.493229167,7800,0.881481527,2.123605158,0.573243179,1.998475771,0.328900688,5.569523081,19.0106005,3.334447682,17.08648069,26.73022937,13.75203301,9.643748681,-0.220036148,14.96911198,-4.859622378,11.88860591,7.028983536,3,0.093773533,0.50421783,45.97785589,531.6249992,6741.334693,77.76281247,1308.602885,1250934,54611.52557,41427.92773,17405.74314,42421.12305,8476.435547,8394.194336,94605.38948,79850.14063,0.0436566,0.033117597,1.31822972,0.013914198,0.03391156,0.4103084,0.006710342,1.009797392,13.22265049
7,SP7,007SPAgrGRAlama,Spain,Castilla-La Mancha,La Higueruela 1,40.05545,-4.432289,Grassland,Grassland,14.9,16.1,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,1.28,3.17,0.11,2.15,1.23,23.311,40.4,763.56,0.031,180,233,228.627,4.049,25.701,0.78,156.6624103,4224.182403,2589,9.98991006,329.1639236,81,96,12.84,86.79,4.48,1.77,3.28,0.4,412,486.417,484.762,4.863,49.898,0.808,69.6,12.52,17.09,0.392,10.89,1.44,5.3,1.42,1.38,0.83,8300,0.07,700,117.69,10.66,6.25,0.79,0.46,0.4,205.106,24.765,8.58336304,2.126544483,0.342995833,4600,15.66611185,84.35634473,5.656077329,19.69677135,7.051993942,128.0813555,18.97495421,6.757232206,8.637725216,24.80562673,1.880493011,16.16790152,-0.463409463,16.27923659,-8.306212945,9.791504109,1.485291164,NA,2.705532668,0.928121413,44.68341605,563.4899321,1792.03962,312.6710077,363.2372661,1439589,27222.97017,13898.55859,17458.30697,25546.47559,2871.870972,1297.744629,104903.9223,50049.31641,0.018910238,0.009654532,1.958690175,0.012127286,0.017745673,0.683393954,0.000901469,2.212970802,13.72292826
8,SP8,008SPAcrHIGlama,Spain,Castilla-La Mancha,La Higueruela 1,40.05874,-4.416166,Agriculture ,Conventional ,14.9,16.1,366,2,17,1,12.5,0,0,0,0,0,0,3,1.4,4.2,0.653061224,2.882352941,1.078992208,379.66853,253.1123533,155.2199657,129.6581067,77.60998286,Hordeum_vulgare,4,barley,0.856,0.384287318,0.152639087,1.88,0.89,2.77,0.22,4.21,1.44,27.111,38.25,719.06,0.072,94,115.938,118.825,2.94,9.095,0.647,146.5257396,4009.778261,2477,9.696391797,236.9389833,93,110.5,12.14,105.32,5.08,2.32,4.66,0.51,452,538.625,521.591,5.169,85.947,0.846,74.85,14.5,9.86,0.325,8.06,0.7,4.1,1.59,0.42,0.76,7600,0.066,660,941.29,53.51,6.45,0.78,0.45,0.6,168.661,22.704,62.28632286,3.325355435,0.1915625,4500,15.44337588,75.62891668,6.987047171,13.85620025,9.368803835,136.3834718,31.52208791,6.360500363,15.2307719,27.14862125,8.870271534,11.91784935,-0.446740058,18.74644926,-9.437827744,12.49208845,3.054260703,0.27,2.578275446,1.089078916,77.71792125,289.6897512,2214.851809,137.324553,835.43264,1386221.625,30865.5554,24432.06152,24957.53811,29432.22559,6662.353027,4223.887939,208623.8048,128553.4141,0.02226596,0.017624932,1.263321778,0.018004003,0.021231977,0.847966391,0.003047051,1.577303452,6.644599481
9,SP9,009SPAcrLOWlama,Spain,Castilla-La Mancha,La Higueruela 1,40.05793,-4.416149,Agriculture ,Conventional ,14.9,16.1,366,2,22,2,51.5,0,0,0,1,0,0,1,1,1,0,1,0,188.2833,NA,NA,NA,0,Hordeum_vulgare,1,barley,1.35,0.606060606,0.240727532,1.75,0.89,2.64,0.25,4.43,1.27,22.281,39.51,691.48,0.054,124,141.652,148.407,3.52,17.375,0.73,145.1117775,4119.92381,2427,9.681051948,245.1020111,75,96.38,13.15,96.61,5.01,2.38,6.36,0.55,438,510.8,518.015,4.941,59.321,0.812,76.28,12.35,10.81,0.43,11.15,1.19,7.2,1.65,0.35,0.66,6600,0.064,640,900.9,70.76,6.52,0.56,0.32,0.6,187.488,24.51,61.10968581,3.018146182,0.237475,3200,4.132422786,30.62455646,4.025770064,8.766785404,2.363597454,125.4226931,12.78146836,6.27493075,10.26712806,22.04424034,3.992197307,11.77711229,-0.44512656,20.67009146,-6.216919233,14.43831962,8.221400386,1.2,0.987512322,0.51715809,97.28494324,321.5941218,1276.725932,144.0930748,846.0986934,1774360.563,45204.89347,32810.54492,44187.00648,44610.99023,8292.762207,8084.153076,207090.6933,65357.97656,0.025476724,0.018491476,1.377755035,0.024903059,0.02514201,0.99049598,0.004556094,1.025804698,8.568036227
10,SP10,010SPAgrGRAlama,Spain,Castilla-La Mancha,La Higueruela 2,40.07019,-4.423826,Grassland,Grassland,14.9,16.1,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,0.64,1.69,0.06,0.66,2.64,27.674,38.65,405.83,0.165,119,138.118,137.729,3.51,16.154,0.734,137.1836515,3519.8,2162,9.403272721,192.4502254,92,103.77,7.36,106.35,5.13,2.35,6.93,0.52,280,398.607,379.764,4.498,46.267,0.798,17.08,27.35,54.49,0.689,46.95,2.72,41,0.91,0.9,2.24,22400,0.126,1260,341.66,1,8.11,1.08,0.63,9.4,446.724,33.105,0.916890931,7.198233111,0.7446875,6300,18.28898097,48.61095797,8.312742512,3.081431431,4.145888266,42.22735412,93.6678846,8.344159576,10.62921758,25.78884764,2.285058002,15.15963007,-0.577317065,14.16252544,-5.93364937,6.080086527,0.146437157,NA,1.904605673,2.321983585,69.75104972,327.4332775,2283.0119,38.92686779,515.2453827,1402012.188,59788.66477,38612.80664,12105.68121,46982.66016,8657.901855,NA,93927.60646,83049.31641,0.042644897,0.027540992,1.548415409,0.008634505,0.033510879,0.257662746,NA,NA,14.92651884
11,SP11,011SPAcrHIGlama,Spain,Castilla-La Mancha,La Higueruela 2,40.06371,-4.420127,Agriculture ,Conventional ,14.9,16.1,366,2,28,2,51.5,0,0,0,1,0,0,2,1.5,3,0.473372781,1.898876404,0.666278442,376.5666,376.5666,178.2563787,376.5666,89.12818935,Hordeum_vulgare,2,barley,2.63,1.180695847,0.468972896,1.78,1.24,3.02,0.15,2.64,1.31,23.304,38.96,693.48,0.091,158,193.417,214.781,3.654,19.039,0.722,129.4080931,3185.208877,2028,8.94458714,90.76996939,82,85.75,3.33,88.11,4.62,2.24,5.48,0.51,317,437.677,406.412,4.715,51.777,0.819,31.06,26.7,41.65,0.507,43.05,3.82,36.1,1.54,0.49,0.72,7200,0.08,800,380.82,16.58,8.12,0.59,0.34,0.7,389.336,50.031,19.76116775,0,0.490416667,3400,12.6423911,59.13097425,9.63727953,4.252807999,7.791771755,38.00650604,78.37334584,8.040776402,10.07099623,20.01503974,2.030219832,9.944043507,-0.570398201,17.83742717,-3.638732987,9.851852362,6.213119375,0.66,2.140857999,1.983027692,118.4545927,371.5937169,2907.146676,243.523897,1305.511881,1568966.813,49673.69602,38277.61328,16899.10156,45051.11719,16507.12744,7482.041748,98714.24304,136351.3633,0.031660132,0.0243967,1.297721874,0.010770847,0.028713875,0.375109489,0.00476877,2.206233004,15.89402668
